[INFO] [2019.9.27 21:45:42 /home/dainius/Downloads/nest/nestkernel/rng_manager.cpp:238 @ Network::create_rngs_] : Creating default RNGs
[INFO] [2019.9.27 21:45:42 /home/dainius/Downloads/nest/nestkernel/rng_manager.cpp:284 @ Network::create_grng_] : Creating new default global RNG

              -- N E S T --
  Copyright (C) 2004 The NEST Initiative

 Version: v2.16.0
 Built: Jun 16 2019 13:00:41

 This program is provided AS IS and comes with
 NO WARRANTY. See the file LICENSE for details.

 Problems or suggestions?
   Visit http://www.nest-simulator.org

 Type 'nest.help()' to find out more about NEST.

CSAConnector: libneurosim support not available in NEST.
Falling back on PyNN's default CSAConnector.
Please re-compile NEST using --with-libneurosim=PATH
1
(Assertion: 1 => ('is', ('canary', 'eats', 'food')) <= (question, ('does', 'canary', 'eats', 'food')) and (link, ('base', 'canary', 'stimulate')) and (link, ('relationship', 'eats', 'stimulate')) and (prime, property))
41 66.0
(Assertion: 1 => ('prime', 'property') and (link, ('base', 'canary', 'stimulate')) and (link, ('relationship', 'eats', 'stimulate')))
10 14.0
10 21.0
10 27.0
10 32.0
10 37.0
10 42.0
10 47.0
10 52.0
10 57.0
10 62.0
10 67.0
(Prime: property)
11 19.0
11 23.0
11 27.0
11 31.0
11 34.0
11 38.0
11 42.0
11 45.0
11 49.0
11 53.0
11 57.0
11 60.0
11 64.0
12 19.0
12 23.0
12 27.0
12 31.0
12 34.0
12 38.0
12 42.0
12 45.0
12 49.0
12 53.0
12 57.0
12 60.0
12 64.0
13 19.0
13 23.0
13 27.0
13 31.0
13 34.0
13 38.0
13 42.0
13 45.0
13 49.0
13 53.0
13 57.0
13 60.0
13 64.0
14 19.0
14 23.0
14 27.0
14 31.0
14 34.0
14 38.0
14 42.0
14 45.0
14 49.0
14 53.0
14 57.0
14 60.0
14 64.0
15 19.0
15 23.0
15 27.0
15 31.0
15 34.0
15 38.0
15 42.0
15 45.0
15 49.0
15 53.0
15 57.0
15 60.0
15 64.0
16 19.0
16 23.0
16 27.0
16 31.0
16 34.0
16 38.0
16 42.0
16 45.0
16 49.0
16 53.0
16 57.0
16 60.0
16 64.0
17 19.0
17 23.0
17 27.0
17 31.0
17 34.0
17 38.0
17 42.0
17 45.0
17 49.0
17 53.0
17 57.0
17 60.0
17 64.0
18 19.0
18 23.0
18 27.0
18 31.0
18 34.0
18 38.0
18 42.0
18 45.0
18 49.0
18 53.0
18 57.0
18 60.0
18 64.0
19 59.0
20 59.0
(Link: base, canary, stimulate)
21 19.0
21 23.0
21 27.0
21 31.0
21 34.0
21 38.0
21 42.0
21 45.0
21 49.0
21 53.0
21 57.0
21 60.0
21 64.0
22 19.0
22 23.0
22 27.0
22 31.0
22 34.0
